timestamp,speaker,words,tags,
,RB,"John Beck from Colorado who has been competing since the very first gay rodeo in in Colorado, in fact I believe he also competed at one of the Reno National Gay Rodeos before this formation of the IGRA. And the first Colorado rodeo was before the formation of IGRA as well. He, he can say it better and hopefully you'll have a chance to interview with John too, but he just says I had a dream. And it was more like a nightmare. The wild drag event is usually just a steer with a twenty-five foot rope on a halter. A woman is holding onto the rope ten feet from the gate, as the gate opens she holds that rope and the other two people—a man or a woman in a in a drag outfit wearing a wig and some type of a dress—and a man are standing about forty feet away, they run up to help move this animal across a line seventy feet from the gate I believe it is, and then the drag has to get on and ride the steer back across the line. The way the rule was first written was as soon as the gate opened they were supposed to go out towards this line but stop the steer and get on it and ride it across the line away from the cutes but when that first gates opened those steers took off and were all at the other end of the arena before anybody had a chance to get on it. So that's when we revised the rule that it instead of having to get on before they cross the line they had to take the animal across the line and then bring it back.",events; highlight;igra;judging,
[00:29:27],RS,It's good trial and error. So did you ever compete yourself in any events?,,
,RB,"I did actually. That first year that I was getting trained as a judge I had not competed yet in in Los Angeles or Denver, but when I went to the Oklahoma rodeo which was the 3rd rodeo where I was getting trained as a judge, I also competed in chute-dogging for the first time. And I had never really seen it so I thought well I'll just watch people go out and then I'll learn it. Well, the first day I was the first person to go out, so I didn't get to see anybody else do it. I dogged the steer in about nine and a half seconds the first day. And then I watched people and the second day I got it in about four and a half seconds. I never did win any buckles, I won a few ribbons. I did some other events, I did—our first we did wild cow riding at first for a few years before we changed it to wild steer riding. The wild cows were more difficult to ride because at that time we also had wild cow milking. So we were using the same cows and they would jump around in the chutes because they weren't with their calf, that's because they still had milk—so they were pretty wild in the chutes. And so we didn't keep that event very long before we went to steer riding. But I never made a successful steer riding. I just…I rode horizontal a lot. I always hit the ground.",events;competition;judging,
,RS,Did you ever get injured?,injuries,
,RB,I spent a night in the hospital after a hard fall in Los Angeles. I collapsed my lung.,injuries,
,RS,"Yeah, that's scary. That's scary. But no real interest in in sort of being a bronc rider or roper?",,
,RB,I love to dance and I didn't want to screw up my dancing. My grandfather danced until he was in his late eighties.,dancemusic,
,RS,And how did you get involved with the leadership after becoming a judge?,,
,RB,"Well, I started judging in 1986 and in the spring of 1993 I got a phone call from Wayne Jakino, the founding president of IGRA, and said that he had been talking with some of the other people: Les Campbell was the 2nd president, some of the vice presidents, trustees, etc. And they had…as a judge I had been going to all of the rodeos and at that time, with only four and five and then six rodeos a year, they were having a board of directors meeting before on Friday before each of the rodeos. And I would get in on Friday so I would go and attend the meetings so I was aware of what was happening already and I knew all of the people that were on the board. But they called and thought that I should run for president and I said, “Well, you caught me totally off guard. But I'll think about it.” So I thought about it for a couple of weeks and called back and said that I would. And when the word got out that I was going to run for president nobody else did. And I was voted in by acclamation since nobody else was running against me. And I ran a second year and then the man that I was dating in the long distance relationship passed away in 1994, and I had planned on not running so that I could spend time with him. But when he passed away I decided I would run for a third term. So that I would keep busy over the next year, and so I ran. I was president from 1993 through 1995.",highlight;igra;judging,
,RS,Did it help to stay busy?,,
,RB,It did. It kept me busy. It kept me involved with people so that helped get through the grieving period.,community,
,RB,Was the community helpful?,community,
,RB,"Yes, yes.",,
,RS,What were some of the challenges you had when you were president?,,
,RB,"Well, rodeo was growing rapidly. I became president at a time when country music was still on the rise and in 1993 interest in rodeo had grown tremendously. Every year that I was president we brought in two or three member associations. I can't remember now what all they were but every year we were seating new groups and I think our total, the total membership, nobody is a member for the International Gay Rodeo Association you are a member for the association the state association that are affiliated with IGRA, but through all of those associations there were somewhere between 6,500 and 7,000 members across the United States and Canada. The ARGRA, Alberta Rockies Gay Rodeo Association was one of the groups that came in while I was president. So there was always, there was a lot of growth happening and we still didn't really have cell phones and email was not very popular at that time in ‘93, ‘94, ‘95. I was getting written letters, I was making a lot of telephone calls, but it had to be on a hard line, not a cell phone. So I guess those were the challenges.",highlight;igra,
[00:35:29],RS,"And so, as you said this was a time of rapid growth, were you as president going to a lot of these events yourself?",,
,RB,"Well, as I, as a rodeo judge and…",,
,RS,So you're still judging while being president?,,
,RB,"I was judging while president. I was one of the main judges for a while. There were three of us: Chuck Barackman, myself, and Mark Friedann. Neither of them, none of us are judging anymore but one time we were called the three musketeers cause we seemed to be the three judges that were being picked for most of the rodeos. There were not a lot of judges at that time. We were, I was involved in also training new judges so we could build up the pool of judges. But I judged rodeos for a total of sixteen, a little over sixteen years. And I was judging while I was president so, I could get to all of those rodeos because I was usually judging the rodeos.",events;judging,
,RS,"Wow, and I mean this is really you know the ‘80s, early ‘90s with the AIDS epedemic. How did that effect the feeling of rodeos and gay culture?",,
,RB,"At that time the main focus, I mean IGRA and our member associations tried to be involved in raising funds for different charitable organizations. And in the early years, 1985 through probably about 19… maybe all the way to 2000, the main focus of all of the groups was to raise money for different AIDS organizations. Now we’ve branched out and more it's breast cancer, we do things for equine organizations, children’s organizations, we've branched out into a lot of areas not just related to assisting people in the gay community but also other areas.",aids,
,RS,That's amazing. Were they still pretty big parties or as they grew were they getting more focused on rodeo?,,
,RB,"Well, the rodeo was always the main focus of the weekend and most of the rodeos in the beginning also had some kind of a dance venue at the rodeo grounds, but they would always have a Friday and Saturday night party with big dancing especially on the West coast: Los Angeles, San Diego, San Francisco, Phoenix, and Denver, and Albuquerque. Not so much in the eastern area, they would have parties at the local country bars. There were some, even Texas and Oklahoma I remember having big dance parties at the very beginning but those faded away a little bit. Washington, D.C. had a couple of big parties at the Post Hotel in downtown Washington, D.C. Different areas—as the as the dancing became less popular, it was not the main source of our spectators, they had to draw more spectators from their local area than plan on the dancers coming in from around the country. Because other things were happening: gay cruises, gay softball, gay basketball, I don't think there’s gay basketball but there's something or other, soccer, rugby, there's all sorts of things that are taking people from the gay rodeo events that that were so popular at the very beginning.",highlight;dancemusic,
,,...,,
[00:45:00],RS,And how…what was the interaction between the rodeos and the communities that were being hosted in did you experience any homophobia?,homophobia,
,RB,"Yes. Not so much in the larger cities but I remember the first time that we held a rodeo and I don't remember the name of the city I think it was Enumclaw, Washington. It was about sixty miles south of Seattle when the Northwest Rodeo Association held their first rodeo. The word had gotten out in the community that there was going to be a gay rodeo and when we went over there the morning for the first rodeo there were mostly high school kids and maybe a few people in their 20s holding up signs picketing the gay rodeo and having a lot of anti-gay slurs which I'm not even going to bother to mention.",homophobia,
,,...,,
,RS,And as you work with the communities do you people gay or straight express surprise over the gay rodeo at all?,,
,RB,"Well, even to this day there's people in the gay community that are surprised to hear about it. I mean, a lot of people now find us on the internet, they type in gay, and just find out what’s out there and that's how they stumble upon gay rodeo, and so that may be how there's an event in their area or one that they want to travel to. And within the last ten years there's quite a few straight people that now compete in our rodeos because we are open to anybody that wants to compete and there's a number of people that are very good, especially in horse contestants, that come to our rodeos to compete and they've been very supportive of our membership. Recently, one of the first contestants for the Nevada Gay Rodeo Association, Richard Armstrong, was discovered to have a brain tumor, and he had had surgery, he just actually passed away three days ago. But about a month ago we had a fundraising effort in Nevada, in Las Vegas, and it was the majority of people there were straight people that had known him through the roping and riding equestrian groups, thousands of dollars were raised to help him with his medical bills.",events;highlight;community,
,,...,,
,RS,"Let's see, so would you consider yourself a cowboy?",cowperson,
,RB,"No. [Laughter] Even though I did work on a cattle ranch after I graduated from high school, the summers I did work on a cattle ranch. And mostly the first year just dealing with getting in the hay for the winter season but the following three years I did work with his livestock. Grooming them, brushing them, washing them, and showing them on cattle shows. After I graduated from college and was able to work with them longer into the fall, I did actually go with him to the San Francisco Cow Palace for the Grand National Rodeo that’s held there in October. That year they had a special show for Polled Herefords, which is what he raised. So my picture is actually hanging on the wall in the Cow Palace Center in San Francisco. But it's way up high and it’s this picture of the entire rodeo arena with about a hundred animals being led in by people and I'm leading four animals, four bulls, into the arena for this spectacular show that they did for the rodeo.",cowperson,
,RS,But you wouldn't consider yourself a cowboy?,cowperson,
,RB,Not compared to these people that can ride a horse really well. Even as a judge I was able to ride a horse but I'm not a…I don't consider myself a really good equestrian person.,cowperson,
,RS,Do you still dance?,dancemusic,
,RB,"I still dance, as much as I can. At sixty-seven I've got some problems with my feet but I still dance up a storm when I can.",dancemusic,
,,...,,
